#ID,P1,P2,Result,Result
2001,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000kHTX008lKp00cmqj0ImgLwfWHW9wfrTBMwpHxhYwpHzaJwdVtBKa1NDOuGdDNVmp008mlakVPoMakVS5Ip00BT8amjUoDamjX5zp00zdVr01AQUr013Ata1NGvtOjHNGaOjhoOQOiPYXyOipA7gOhYbfX,P1Win,P2Win
2002,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000hK4X00dHsw009Fuw00bhQw00cTdw00evzw00g7Vw00hJiO009FuO00bhQO00cTdO00evzO00g7VO00hJij2ata9akA0uSakzWNWa3fIP5p00os8p00segr004jTr01ARo,P1Win,P2Win
2003,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000kHRX008l9wfNUMBwfrUpmOjz1wCOjd19nakdODij2nGoUOiQ0L8p00ixCwf5U27akdQw3weITDR604x5Dp00vcmakIIBTp00NbkantoMaaoUsYXp0070LwpUNt241rCCsa1rELB,P1Win,P1Win
2004,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000j7PimwEnTX008n9p00hdYakzRIpw0058Sw0071Dw008Tow00aM9O005W4O007yqO009aMO00aM9joccoUa2aEe2p00uFEGd0ehdaoUsd5p00vcUaoUuT1a2aGU2p00B6vp00pk9r004mr8004lTakzTBaakzVtU,P2Win,P1Win
2005,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001na5X01agej2klbgp01mkBGhQuySp01AQAp01APlp01zMyOkwqQiOfXQ2EOgtEn0OgYsHlwfTlUlwfoxA0weSJfEwenUUjwdWw41anQq09anQsG7a3gNHja3gQolT019Hma5qziCa6vHacr01ACnr01AODajAitpajvVpT,Draw,Draw
2006,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001iQVwpvwaljnD0W1a16zAFp01vupp01yr8p01APKanQq0ganQsGcp01kbGajvU5aajvRoeGd1izSX01fCUOg7EwmOkJE5rOkePK6OjJ2pKwewIRewe6k0Vwdw7cxwd1j8AU004RRa2agyza2ajfv7k4RQ8,P1Win,P1Win
2007,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dvXjnucuVX01b7uOjWbVPOffMTHOfKBvrOggq7bw9PicqwalaihwaQ2o8wblTtYw013Atp01yL7a16CAfa16Fhbp01zydanQq2LanQsIHajvJnhajvLg2ajvN8Op015qHp01dKJGgghKlp00K2lp01mmuq01zgGr00K38r01auT,P2Win,P1Win
2008,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001bTFjnucv3X01bEhp01AUgp01ATIanQrV4anQpf8ajvKIkp017Qcp01gYzt012M4p01ASqp01s12G7NMHzw9Y7e6watYjWwaYQpNwbuIvEwc0ABwO86yQAOg7CqtOfBO68w05vifr00XbJr004ohabUT7UajvIPyajvHec,P1Win,P2Win
2009,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dvXjnucuVt019eJOf70uoOfGdiMOggq7bwfbjkbweB6vMwe1SHowdrFT0p01yL7a1Khiea16Fhbp01zydanQq2LanQsIHajvJnhajvM4ep01f6CGgghKlp01Aldp016LFp015nQU00ACza2aNnQa2aKGUp01s1fp01nr4X01b7ur01AOxr00Bow,P2Win,P1Win
2010,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001crxX01e4OjodfWyt0174Xt0174XU00GwUajvNWbajvLgcp01a0saozsq8OjebblOjIYvGOf2Adawapzj7wcmEtRp01ASuG4ljpYp01pAxp01991p01ATGwbuIvEaoyFPLaoyD9Pw05wDdaozv74p01yL7,P1Win,P2Win
2011,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,001dfiwpVLF3w01b6TX01dgAO019e9O01hhWwjvJ8aw01eS0wpVTcEt01bmut012vGp01xW5ajvJn0ajvLfKalGcJoU01uHGaggrXka16zBojnQedSa2bHsXp01hvWa1OHEzp017j5p01ybHalGfqkGjvxdI,P1Win,P2Win
2012,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000iOu7k9szM7k57447k9qH2joH2Afr00tih7kmEcK7kiiG27kmCAoamKhz0amKeS49la2OV9l5LWt9l9Y5e415A5na2B43ma2B6Jj7plDBi7pq62F7puxt39p8pPb9plIYazcUI5dx5YUGhxkifbUr004jja8n7I71lEVx91lF0z3O00iNRT01evSp00tzja6vMfEa6vJyIa6vKTJp01dIi,P2Win,P1Win
2013,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000gFvi2AF7yp00r9Xj19MIW9lekkJ9kVPoO9kRiBw9kIKei9p8eyD9puwov90dhxV90zznNp00vaXantjVQantmCMa2aC36a2aEJ741ry3hx5YWz2x5YLPg7kr2RC7kr6Tw7kifIH7kijKD7k9szM7k9wBKzcUIlK39nNa91kVPoOr00O5e1kVTqGp01ARm,P1Win,P2Win
